program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;maldishonest;mascot;3;0.18;28;1;10;30;143.364;143.45;384;157;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;96.2702;96.35;384;157;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;72.6858;72.78;384;155;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;58.613;58.70;383;159;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;49.2102;49.29;385;157;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;42.4729;42.56;386;160;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;37.4443;37.53;387;158;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;33.5016;33.58;385;161;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;30.3946;30.47;387;158;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;55;30;27.8257;27.91;385;161;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;60;30;25.7049;25.79;384;155;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;65;30;23.8779;23.97;387;160;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;70;30;22.3344;22.42;386;159;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;75;30;20.9615;21.04;385;159;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;80;30;19.7965;19.88;384;159;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;85;30;18.754;18.84;384;159;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;90;30;17.8041;17.89;384;158;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;95;30;16.96;17.05;382;160;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;100;30;16.2366;16.33;387;159;~1096;311.974;894.386
31;FIELD;semidishonest;hemi;3;0.18;28;1;10;30;2.8391;3.92;45;79;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;2.0139;2.74;43;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;1.60371;2.16;43;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;1.36816;1.82;45;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;1.23559;1.63;45;82;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;1.09747;1.44;45;79;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;1.02163;1.32;43;79;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;0.945354;1.22;45;82;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;0.904941;1.16;43;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;55;30;0.872478;1.11;43;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;60;30;0.839025;1.06;43;82;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;65;30;0.766522;0.97;45;83;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;70;30;0.782863;0.98;43;83;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;75;30;0.744841;0.93;45;80;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;80;30;0.715879;0.89;43;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;85;30;0.658901;0.83;45;84;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;90;30;0.681531;0.84;43;81;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;95;30;0.637986;0.79;43;83;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;100;30;0.653555;0.81;43;77;~879;3.52423;10.1947
31;FIELD;semidishonest;semi;3;0.18;28;1;10;30;20.0805;20.15;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;15;30;13.4344;13.51;63;150;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;20;30;10.1541;10.23;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;25;30;8.19368;8.27;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;30;30;6.89203;6.97;64;149;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;35;30;5.96145;6.04;64;153;~900;49.5791;148.359
