program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;maldishonest;mascot;3;0.18;28;1;0;30;1.58604;1.68;386;148;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;5;30;5.34392;5.60;384;70;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;10;30;9.16346;9.59;379;55;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;12.7354;13.33;389;49;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;16.5528;17.32;382;46;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;20.1564;21.10;380;38;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;23.7012;24.81;381;40;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;27.5254;28.81;377;39;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;31.0172;32.47;383;38;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;34.5761;36.19;379;37;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;38.0818;39.88;381;36;~1096;311.974;894.386
31;FIELD;semidishonest;hemi;3;0.18;28;1;0;30;0.306751;0.40;45;89;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;5;30;2.78118;3.01;45;19;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;10;30;5.19812;5.63;43;14;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;7.54644;8.14;43;12;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;9.91881;10.72;43;12;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;12.3468;13.35;43;10;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;14.7139;15.87;45;10;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;17.009;18.34;43;10;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;19.2469;20.79;43;9;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;21.5919;23.33;45;9;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;24.0334;25.90;45;9;~879;3.52423;10.1947
31;FIELD;semidishonest;semi;3;0.18;28;1;0;30;0.44809;0.52;63;135;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;5;30;2.82511;3.01;62;27;~900;49.5791;148.359
