program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;maldishonest;mascot;3;0.54;29;1;0;30;1.04652;1.12;258;89;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;5;30;10.9102;11.19;262;13;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;10;30;20.4966;20.95;260;8;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;30.102;30.73;260;7;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;39.5974;40.41;260;6;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;49.1242;50.12;262;5;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;58.6306;59.80;260;5;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;68.1987;69.54;260;5;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;77.6689;79.17;260;5;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;87.3296;89.01;258;5;~3671;41.0727;123.189
32;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;96.7837;98.64;258;4;~3671;41.0727;123.189
32;FIELD;semidishonest;hemi;3;0.54;29;1;0;30;0.114294;0.21;18;50;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;5;30;9.49171;9.76;18;3;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;10;30;18.5738;19.02;18;2;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;27.5529;28.18;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;36.5567;37.37;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;45.5755;46.58;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;54.5495;55.74;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;63.5709;64.96;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;72.5674;74.10;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;81.5603;83.30;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;90.5534;92.44;18;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;0.54;29;1;0;30;0.171454;0.24;14;50;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;5;30;9.52066;9.72;14;2;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;10;30;18.5697;18.91;14;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;15;30;27.5587;28.03;12;1;~3600;0.0288;0.0576
32;FIELD;semidishonest;semi;3;NA;NA;NA;20;30;36.5613;37.17;14;0;~3600;0.0288;0.0576
