program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
33;FIELD;maldishonest;mascot;3;0.69;34;1;900;900;900;NA;NA;NA;NA;NA;NA;901;10;30;12.7371;12.80;78;63;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;8.65822;8.73;82;63;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;6.63942;6.69;80;63;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;5.42789;5.50;78;63;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;4.63722;4.71;80;64;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;4.01441;4.08;78;64;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;30;3.53055;3.60;80;64;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;30;3.26102;3.34;80;64;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;30;2.98624;3.07;80;65;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;30;2.77818;2.85;82;65;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;30;2.58605;2.66;80;64;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;30;2.28777;2.36;80;70;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;30;2.29837;2.36;80;68;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;30;2.1326;2.20;80;67;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;FIELD;maldishonest;mascot;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;30;2.08129;2.16;80;68;~3671;10.3208;30.9478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
